size,bedrooms,bathrooms,age,garage,neighborhood,school_rating,price
3891,5,3,62,2,South,1,1408046
3785,3,1,14,3,Central,2,1325383
1864,1,1,0,2,North,9,651531
4197,1,1,65,1,South,7,1221513
2426,5,2,67,3,South,10,940011
2368,5,1,57,0,Central,2,875179
3384,1,2,50,0,South,6,1033964
2642,4,3,89,2,West,7,932419
2537,4,2,91,2,West,2,856579
3854,2,1,2,1,East,9,1292210
4584,3,3,41,0,East,7,1527566
1367,5,1,12,1,West,2,680019
3816,1,2,73,3,South,5,1134047
3630,5,3,77,1,East,2,1291150
3548,2,3,36,3,Central,7,1218327
3645,1,3,82,3,North,10,1107524
1401,5,3,88,0,West,7,578341
1387,1,2,89,1,West,9,354660
4900,2,2,45,2,East,7,1554377
4516,3,1,84,3,Central,1,1395270
4894,3,3,80,0,Central,3,1552468
4187,3,2,41,3,West,3,1407295
1740,1,2,40,3,West,5,581780
4757,3,1,32,2,Central,10,1566378
2143,3,1,95,0,North,1,641447
4116,1,3,11,0,South,3,1346839
4780,1,1,23,2,North,8,1489981
1568,1,3,14,1,West,3,583780
2379,4,2,70,3,North,5,873269
1238,2,3,13,3,Central,10,573824
2895,3,2,7,1,Central,2,1067135
1114,1,2,0,2,North,6,470219
2640,1,3,55,3,West,8,850054
2858,5,3,57,1,South,6,1083955
1287,2,1,93,0,South,7,326542
1597,1,2,32,1,West,3,537691
3260,4,1,46,1,North,10,1129050
3314,5,2,83,2,Central,5,1149923
3244,1,2,8,0,North,3,1057668
4538,1,3,95,0,West,7,1307265
3270,4,3,93,2,East,9,1099668
4289,4,3,39,0,West,3,1488979
4768,4,3,5,2,South,1,1722547
3054,4,2,79,0,North,7,1026732
3632,2,2,90,1,East,2,1089022
3917,3,3,0,2,West,2,1426801
4054,3,2,63,1,West,10,1309175
3239,4,1,65,0,West,6,1070582
4521,5,3,30,2,West,10,1655082
2997,2,2,81,3,East,4,920486
2289,2,3,76,0,North,1,728695
1091,3,1,71,3,West,4,393680
4981,3,3,24,0,South,5,1691936
3466,3,2,14,1,North,4,1235065
1550,1,1,10,3,West,4,563847
2916,2,2,62,1,North,2,926769
4568,1,3,93,2,South,7,1352517
1208,1,3,70,0,North,2,354621
3477,4,3,82,1,Central,3,1184418
3487,5,3,80,2,South,8,1253036
4746,2,2,47,1,Central,1,1507673
1384,2,3,34,1,East,8,545446
4224,1,3,95,1,East,4,1231592
4197,5,3,16,2,North,7,1592800
2650,3,3,17,3,South,1,1033094
4760,5,1,37,1,West,8,1650734
3567,5,2,38,0,South,6,1304608
4520,5,1,38,3,West,7,1597857
4765,5,3,9,0,East,4,1753935
1925,4,3,38,2,North,5,803881
1455,3,3,88,3,East,10,529977
1086,1,2,75,2,South,1,311665
2069,3,1,22,0,South,2,764796
2843,5,2,43,3,Central,5,1115237
2071,4,1,77,0,Central,10,704186
1642,2,1,34,0,South,4,548766
2831,4,3,4,3,Central,8,1159216
3011,1,2,39,2,West,6,945754
4041,4,3,58,1,Central,1,1395550
3379,4,2,16,2,East,1,1259033
1540,3,2,0,1,East,6,678042
2533,4,3,95,1,Central,4,866877
3795,4,2,22,0,West,4,1353365
2110,4,1,76,3,South,1,750855
1307,5,1,82,1,Central,6,525703
2114,5,1,18,0,North,1,878022
1511,2,2,43,3,South,8,566230
1408,4,1,88,1,North,3,495249
4657,3,2,53,1,North,4,1507220
4746,4,1,97,0,North,7,1453773
4190,5,1,6,3,South,1,1547919
3519,4,1,62,2,North,8,1187100
4605,1,1,71,2,Central,2,1332408
1032,2,1,70,0,South,7,308896
4849,4,2,9,2,East,8,1717605
3227,2,2,65,3,East,5,1029301
4046,1,2,13,0,West,6,1303637
1733,1,2,36,0,East,6,566657
1244,1,3,83,2,Central,1,368490
4290,4,3,72,2,North,3,1458676
3011,2,1,94,0,West,5,844224
1915,5,3,80,0,Central,8,748655
2426,1,3,89,3,Central,8,712121
3075,2,2,21,2,North,4,1060907
2031,4,2,71,1,South,2,747162
4010,2,3,95,0,West,8,1193717
1794,3,3,66,3,South,3,676301
2212,2,3,34,0,South,10,782880
2812,3,2,27,3,East,9,1033866
2489,2,1,94,1,South,7,706756
2662,3,2,82,3,South,1,882729
2143,3,1,71,3,West,6,714453
3422,3,3,33,0,North,9,1198988
2856,2,1,36,0,East,8,917740
4577,3,1,70,0,East,10,1417011
2018,3,1,74,3,West,2,663790
3050,5,2,2,3,North,7,1258287
3645,1,1,67,0,Central,3,1030580
4891,4,1,28,1,East,8,1646905
4976,1,2,41,1,Central,1,1532840
1063,5,3,30,2,North,5,621706
3868,3,2,22,0,North,4,1322339
3170,3,1,37,1,East,4,1063811
1825,3,2,87,2,West,2,605011
1812,5,3,83,3,East,10,747056
4233,5,3,37,2,South,5,1549675
1613,3,3,47,2,Central,1,647153
3143,1,3,33,2,West,6,1039925
4435,5,3,81,0,West,6,1517949
2991,5,3,70,3,West,9,1133191
3189,4,2,30,1,North,1,1175339
3886,1,1,52,2,Central,5,1162711
2620,4,3,66,1,Central,7,962153
4193,4,2,17,2,North,5,1507035
1788,3,1,91,3,West,7,565010
4286,2,2,16,1,Central,1,1418703
1770,5,1,22,3,North,8,788403
3948,3,3,77,1,North,3,1270485
1591,5,3,90,3,Central,8,658552
3492,4,1,9,0,Central,6,1264651
2354,5,2,40,1,North,9,936371
3053,1,1,64,2,Central,4,885668
2234,5,1,54,3,Central,3,864200
1458,2,1,90,2,Central,8,401588
1295,1,3,92,3,South,3,374085
3763,1,3,83,1,South,5,1109485
4789,4,3,99,0,South,3,1526689
1031,5,2,78,3,Central,7,485835
4115,5,1,72,1,Central,3,1380006
2274,3,1,0,2,East,10,884591
4930,5,2,95,1,North,3,1609260
2038,3,1,3,1,Central,7,801942
1793,3,3,97,0,East,1,581636
4065,4,1,73,2,West,1,1314582
4009,4,1,20,1,East,6,1397930
3485,4,2,59,3,East,10,1214550
2937,2,1,24,3,East,6,997095
3496,4,2,43,1,Central,7,1225108
3310,1,1,6,1,West,4,1066912
4066,2,2,74,1,West,9,1247940
4744,5,3,24,3,North,10,1739000
4718,5,2,85,0,East,6,1551594
4979,2,2,89,3,North,4,1500319
3738,1,2,72,1,East,5,1096065
2795,2,3,55,2,North,10,941058
3392,3,2,6,0,North,5,1207364
2956,1,3,12,3,North,5,1038336
3726,1,2,55,0,East,3,1123949
4895,4,2,47,2,West,7,1647347
2388,3,1,96,2,North,2,720152
3909,1,3,66,3,East,8,1210040
1461,3,3,22,1,North,1,642952
3247,3,1,74,2,North,5,1030246
3651,3,3,24,0,East,9,1297022
4139,5,2,30,2,Central,10,1514279
3426,5,3,22,0,East,6,1315539
2091,4,1,50,0,South,1,755828
4181,5,1,88,0,South,3,1350436
1256,1,2,50,1,South,3,405713
1325,1,1,20,2,West,9,464935
4506,5,3,12,0,Central,9,1658883
3726,2,3,43,2,West,9,1248098
3419,3,2,76,0,Central,2,1075000
2055,4,3,83,2,North,2,765206
2663,2,3,92,0,North,10,810310
1706,5,1,17,0,North,4,764843
1617,1,3,23,0,West,8,585972
4584,1,1,54,1,South,7,1355755
3735,4,3,8,1,South,4,1401290
3270,4,1,56,1,South,5,1115902
4269,4,1,25,2,South,4,1482724
2738,1,3,29,3,South,5,941093
1717,4,3,63,1,South,3,693289
1585,3,2,29,1,West,3,633703
2241,2,1,45,3,East,10,740316
4624,2,3,20,1,North,1,1548517
1482,4,2,94,2,East,7,534673
4233,3,1,52,3,West,1,1382195
4918,2,2,22,0,South,1,1582522
3758,3,1,94,0,East,8,1123812
3894,4,2,95,1,South,10,1248284
3164,3,3,26,3,Central,6,1167414
1337,5,2,62,1,North,9,598340
3230,1,3,51,1,South,8,1023262
2965,5,2,73,3,South,1,1086883
2827,1,1,99,2,East,4,745787
4565,2,3,9,0,Central,10,1546297
1443,5,3,6,1,East,8,773589
4782,4,3,15,1,South,9,1704970
3966,4,1,46,2,North,10,1354602
2727,3,3,79,2,Central,3,910481
3996,5,2,33,2,East,5,1465741
4596,3,1,59,0,South,3,1439255
1083,5,3,59,2,North,1,561337
2729,3,2,20,3,East,4,1009803
1351,4,3,67,1,South,7,565386
2562,1,1,30,2,South,6,801811
2769,5,2,2,1,South,4,1141969
4405,4,2,96,0,Central,5,1390733
1076,4,3,14,2,East,6,603649
1283,2,1,61,2,West,10,411786
2062,3,2,56,3,East,3,752889
2811,5,3,21,3,East,9,1165110
4875,4,2,66,3,South,2,1626898
2103,1,3,75,3,North,4,642341
3920,4,3,87,1,South,5,1309775
4737,4,2,88,1,East,7,1509139
1332,2,2,89,2,East,9,392754
3484,3,1,80,3,North,10,1098098
1209,5,3,69,3,North,6,599204
1932,5,3,73,0,North,8,764157
3044,4,1,75,0,East,1,996879
1075,2,2,46,1,Central,7,395884
4568,4,1,37,2,East,5,1538279
4273,1,1,51,1,East,5,1271593
3629,2,3,9,2,West,3,1277247
4535,4,2,75,2,West,9,1498196
2880,1,2,42,3,South,3,923203
2869,1,1,54,0,North,1,834000
3691,5,1,94,0,East,2,1198613
1358,4,2,55,1,West,2,563184
3058,1,2,59,3,North,5,940236
1322,4,1,36,2,North,6,564603
1566,4,1,25,2,Central,2,665879
3405,2,3,57,0,East,1,1097290
4100,1,3,9,2,Central,1,1379759
2926,3,3,45,0,East,5,1023967
1616,5,1,76,0,South,5,621652
3377,4,2,6,3,North,2,1286641
1203,2,2,79,1,West,4,378057
3960,4,1,83,2,South,4,1273356
4489,1,2,80,1,West,1,1298382
4815,4,2,23,3,North,7,1683951
3096,3,2,68,1,Central,4,1016431
2023,2,1,91,0,South,6,553452
4486,4,3,3,2,Central,4,1654504
4581,2,3,24,2,South,3,1530034
4310,2,2,66,2,North,7,1347220
1745,2,1,23,2,South,5,635423
2649,1,2,4,3,South,5,935891
1182,2,3,83,3,South,3,403473
4144,1,1,11,2,South,10,1315358
4425,2,2,59,3,East,6,1407606
4274,1,3,88,1,Central,10,1262124
2280,5,2,31,1,West,10,942183
2777,5,1,20,2,East,5,1093082
1800,3,1,69,1,Central,10,590372
3776,2,3,38,3,Central,1,1282179
3195,3,3,23,0,South,1,1147107
1985,3,3,60,2,Central,6,739723
4983,4,3,28,3,East,8,1750627
2988,3,3,84,0,North,3,968998
3106,2,1,7,0,East,4,1050126
4660,5,1,12,2,East,10,1672575
3985,4,3,4,0,Central,2,1471648
1393,2,2,1,1,East,10,576365
3757,4,1,92,1,West,9,1174125
2510,4,2,78,2,East,6,872680
3735,4,3,5,1,North,6,1403924
4240,2,3,46,1,Central,5,1381647
3509,3,1,90,3,Central,8,1086214
4043,5,3,80,3,East,3,1419774
2487,2,1,62,1,North,5,753288
3830,1,1,51,2,Central,4,1151834
3085,3,3,16,2,South,8,1156213
2748,3,1,71,1,South,5,869316
4849,4,3,70,2,East,8,1627156
2980,1,2,69,1,North,7,868350
3287,3,2,67,1,East,7,1068591
3865,1,3,53,1,South,5,1199250
3724,5,3,18,0,West,8,1424807
1430,5,3,37,3,Central,8,728678
1873,3,1,59,1,East,10,627777
2544,3,1,15,2,North,10,925687
3219,2,2,98,3,East,9,960272
1234,1,1,59,3,West,7,368593
3122,3,3,67,2,South,8,1053739
3432,3,3,74,2,West,5,1135482
1571,2,2,21,1,North,10,595819
1117,3,1,17,0,Central,5,485483
1247,5,2,72,0,East,2,545353
1692,1,3,46,2,Central,4,582941
3112,4,2,63,2,East,2,1093805
4436,4,1,16,3,West,2,1562111
2430,3,3,18,2,North,3,955814
2228,4,2,71,3,South,10,815269
2612,3,2,42,0,East,9,913974
4520,2,3,16,3,East,2,1536116
4588,2,1,85,3,North,1,1364426
3714,5,1,98,0,West,4,1188414
1335,1,2,22,3,Central,7,487337
1116,3,2,37,3,Central,1,507842
2555,1,2,99,3,West,10,700758
3202,5,1,6,0,Central,7,1231911
4219,4,3,95,3,East,1,1395378
1939,5,1,2,3,West,1,888057
4124,2,2,25,2,South,3,1372624
1840,1,2,1,3,East,6,693686
2145,2,2,97,3,Central,7,637236
4897,5,2,46,2,Central,9,1703247
1348,3,1,79,3,West,1,452810
2170,3,2,74,0,Central,4,718329
2270,3,1,15,0,West,9,824714
4826,2,3,80,2,South,4,1506433
4456,3,1,5,1,South,4,1516413
2896,4,3,76,3,East,3,1037738
4354,1,3,94,3,West,9,1298043
4337,1,3,79,2,Central,4,1309828
2414,3,3,32,2,West,7,927345
2625,5,1,15,0,North,1,1047326
1065,4,1,84,1,Central,9,400559
1860,5,1,43,3,North,10,775691
1862,5,3,95,0,West,6,717312
2967,4,1,66,2,South,10,1008394
4016,4,3,68,0,West,2,1353010
4487,2,2,85,0,East,1,1328621
2065,3,2,60,0,Central,2,708472
1151,4,1,48,0,West,3,473608
4168,3,1,50,0,East,1,1325372
2797,4,3,27,2,South,5,1096707
4916,4,2,55,2,West,9,1643579
1431,3,2,44,1,East,4,555379
4679,1,3,63,3,Central,6,1446925
1171,1,1,42,3,North,10,377952
1879,1,2,96,3,Central,7,515011
1953,2,2,21,0,West,8,703442
4073,2,2,30,3,East,2,1349977
2289,5,2,64,2,East,4,880963
4037,1,3,17,3,East,6,1341341
2326,3,3,44,2,South,9,879389
4563,2,3,77,2,West,7,1428544
3534,1,3,77,1,South,1,1048826
2171,3,2,34,2,South,10,804784
3954,2,2,73,1,North,2,1217282
2913,1,3,0,1,Central,10,1018007
2382,4,3,27,2,West,1,961384
1674,4,3,25,3,Central,7,776479
4735,3,3,49,3,South,1,1588531
2479,4,3,33,2,West,3,984720
3558,3,1,6,2,East,2,1255259
2195,1,2,16,3,West,6,762423
1548,5,2,36,0,Central,8,706350
2968,3,3,2,0,North,9,1123877
2425,4,1,26,0,North,5,899066
4745,3,1,57,0,East,6,1491585
3287,1,2,59,0,South,7,984523
3277,2,3,47,3,East,4,1102673
2855,2,1,98,1,South,1,804541
1958,3,2,60,2,South,3,702857
4998,1,3,30,1,Central,9,1582291
1475,2,2,63,0,South,5,481133
2797,5,2,88,1,West,10,988951
2136,1,3,49,3,East,6,714675
1291,5,2,48,0,East,7,604596
1375,5,3,85,3,West,9,607415
4352,4,2,45,3,Central,10,1500014
1072,4,1,21,1,South,9,523876
1100,3,1,55,0,North,3,391587
2416,4,1,51,2,East,1,872601
3063,2,1,55,1,North,2,947868
2048,1,1,4,3,West,8,714320
2697,5,2,90,1,Central,2,940219
2498,3,1,84,1,West,4,768544
2578,4,1,86,0,South,1,825631
1845,2,2,51,3,West,5,636508
1229,3,2,47,0,South,9,490143
4741,1,3,86,1,East,1,1403468
3122,4,3,38,3,East,3,1187212
3846,4,2,76,2,South,7,1287592
4997,4,3,18,3,North,10,1776539
3599,3,3,84,0,South,9,1158857
1693,3,1,53,1,Central,1,584463
4844,4,1,22,0,West,4,1641712
4761,5,2,47,1,East,5,1664243
1138,1,1,50,0,North,2,321946
3526,2,1,27,3,South,9,1165760
3501,3,3,23,1,South,4,1259441
3391,5,2,29,2,North,7,1282768
3848,5,2,45,3,North,4,1395758
1397,4,1,72,1,South,10,522586
1237,4,2,13,2,West,4,633237
1939,1,2,78,0,West,3,543734
1841,4,3,84,3,Central,10,697288
1506,5,2,37,1,West,3,700021
2235,2,1,64,2,South,10,701050
2561,5,2,16,3,North,6,1078754
4357,2,2,41,3,Central,8,1410591
2315,5,2,87,3,East,2,854927
1956,4,2,20,1,Central,5,813736
3783,1,2,92,1,East,4,1066923
3830,4,2,78,1,North,6,1262014
2540,2,1,49,0,North,3,793318
4316,4,3,90,0,West,7,1413253
4718,3,3,79,1,Central,3,1516571
4858,2,3,42,1,West,1,1571502
4057,4,1,9,2,South,10,1441138
2484,1,3,62,1,North,6,761249
2428,1,2,87,2,North,8,687811
4703,4,3,98,1,Central,1,1517781
2104,4,2,17,1,East,6,872917
1892,3,1,69,0,West,5,612462
1707,3,3,10,0,South,4,730735
1285,3,2,29,1,West,5,551876
1010,3,1,12,1,West,2,460036
3505,5,2,52,3,East,5,1282090
3561,3,1,22,0,South,4,1213354
2627,3,3,26,0,Central,10,983978
3087,4,2,34,2,South,5,1129504
1310,5,2,35,3,South,7,655046
1568,3,1,64,3,West,10,548412
3096,1,1,56,3,North,8,924817
2092,1,3,46,0,West,5,674114
3626,2,2,12,2,East,4,1242244
3073,3,3,51,1,North,1,1069820
4184,5,1,11,0,Central,9,1510307
2193,4,3,71,3,East,7,842254
4799,2,2,51,3,North,3,1519466
3903,5,3,11,2,Central,8,1509992
2793,2,1,17,0,North,2,929993
1968,5,1,53,2,West,2,785227
4319,1,1,77,1,West,9,1225856
4356,1,3,88,0,Central,2,1264430
4940,4,3,44,3,West,6,1710898
3622,3,3,96,1,East,9,1147810
4735,1,1,78,1,South,8,1352166
4689,1,1,22,3,East,9,1468706
2842,1,2,72,0,North,8,825238
1214,2,3,75,1,East,5,404285
4946,4,1,76,1,Central,6,1574234
4583,2,3,96,2,North,9,1383233
1822,5,1,53,2,North,10,748030
3007,4,1,53,3,East,7,1049693
3232,1,3,30,2,West,6,1063883
1310,2,3,4,2,North,3,599666
1395,1,1,93,3,Central,2,335838
2239,3,1,57,3,Central,7,777019
4055,2,1,42,1,East,8,1270556
1529,1,1,84,0,West,6,373707
2698,1,1,6,0,East,4,867414
4629,2,3,96,0,North,3,1392138
3856,3,2,43,0,North,1,1271451
2925,3,3,5,3,North,5,1136228
2618,1,2,73,3,East,6,771061
1400,3,3,80,0,East,7,504967
3764,4,1,33,2,East,10,1319109
1752,5,2,38,3,West,10,792546
1348,4,1,12,2,South,9,622507
1395,2,1,9,2,South,10,542289
4972,3,1,65,0,Central,9,1537639
2044,4,3,76,1,North,8,766880
1132,5,2,9,2,Central,1,645907
3808,1,2,62,3,West,9,1152248
1529,2,3,38,0,South,4,576724
2685,1,1,68,1,Central,6,755970
3187,4,3,23,2,East,5,1225536
3516,3,1,19,1,South,2,1198114
3717,2,2,76,2,West,3,1140452
4632,4,2,63,1,South,6,1536824
1217,1,3,48,1,South,6,413898
1285,4,2,65,1,West,1,534497
4098,3,1,94,2,East,10,1234984
4552,2,1,29,3,Central,8,1463854
3121,3,3,89,2,North,5,1009676
2534,5,1,2,3,South,6,1065675
1661,1,1,79,3,East,4,441459
3144,1,2,36,2,North,6,994080
4570,5,1,31,0,South,1,1579500
1235,5,3,2,0,East,1,696859
4814,1,1,48,0,West,7,1429865
2241,1,3,80,2,East,10,670285
1335,2,3,33,3,West,4,551093
3600,5,1,76,0,West,8,1205189
3890,1,3,42,1,West,8,1226900
4128,2,2,36,0,Central,10,1321488
2573,1,1,69,1,West,9,718283
2032,1,1,11,2,Central,4,691582
1676,3,2,6,1,South,10,717855
3347,2,2,58,3,North,10,1082709
1426,3,2,65,1,South,2,524853
1238,2,1,70,3,East,6,389762
2941,3,2,57,2,Central,8,1007859
1752,2,3,82,0,West,9,543905
3198,5,2,37,1,South,5,1212885
2562,1,3,15,2,East,10,896655
3228,5,1,55,0,South,9,1138863
2707,2,3,94,2,South,10,824176
4916,3,3,73,0,West,9,1559327
1708,4,3,66,3,Central,6,693922
2856,1,1,84,2,South,6,795363
2712,4,3,28,2,West,2,1061007
1668,2,1,19,3,Central,9,617893
2092,4,2,3,1,East,4,900896
3735,2,3,83,2,South,4,1173664
4657,3,3,66,1,West,7,1517480
2827,5,2,68,0,North,7,1020766
3437,4,1,81,2,East,8,1125688
1627,4,3,4,2,West,1,780444
2680,1,2,68,0,South,2,780448
2346,3,1,2,0,Central,9,878261
1688,4,2,49,0,Central,4,672861
3527,1,1,45,3,East,5,1085973
2305,3,2,14,2,Central,1,903222
2458,5,3,46,1,South,10,992405
3180,3,1,74,1,West,4,999889
4232,5,1,45,2,West,7,1484075
3068,4,1,62,2,West,3,1053665
3320,3,1,44,0,East,10,1095278
1658,3,2,2,2,North,3,729368
1663,4,3,5,2,East,6,794672
1028,4,3,15,1,North,10,587409
3624,2,3,53,2,West,2,1194844
4910,1,2,9,0,North,1,1556999
4503,3,3,77,1,West,2,1445338
3309,5,1,86,1,South,8,1109928
4849,2,3,71,1,South,5,1513383
4871,3,2,80,2,North,2,1523245
2442,1,2,29,1,West,9,786958
2204,4,3,37,0,West,4,880341
2740,3,2,66,0,South,2,894501
2551,2,1,49,2,West,10,820667
2599,2,2,53,0,East,2,824621
3229,5,2,38,3,Central,7,1226328
2918,5,2,95,3,South,8,1034309
1000,3,3,4,1,North,4,542311
1527,1,1,88,1,South,4,364994
2877,1,1,39,3,South,3,899714
2139,2,2,32,2,West,3,766797
1830,2,2,10,3,North,4,711194
4886,2,1,91,1,North,6,1428372
2238,5,2,80,2,West,4,843666
1993,4,3,19,0,North,8,858268
2136,2,3,84,1,North,10,670564
3413,1,2,77,3,West,5,1015100
1203,3,3,20,0,North,6,564851
2427,1,2,78,0,South,6,675089
3120,4,2,84,1,Central,2,1032640
3412,2,3,76,0,East,8,1058513
4181,1,2,0,1,Central,6,1374369
2541,5,3,93,1,South,8,917530
1224,3,2,20,3,North,6,572790
1327,1,3,36,0,East,4,462258
4640,4,1,61,1,South,10,1506298
4516,4,1,13,2,West,5,1588757
1331,1,2,91,3,Central,10,361511
2670,3,3,25,0,North,10,988097
3047,2,3,35,3,North,2,1066615
2462,1,3,26,2,North,1,855930
4059,2,3,74,1,Central,5,1262271
3163,1,3,61,1,South,1,980747
4965,2,2,58,1,North,1,1550313
2754,1,1,87,2,South,7,758508
4915,4,3,57,2,West,10,1661208
2927,3,2,60,0,North,7,963389
3962,5,1,72,1,North,2,1325731
1243,2,1,15,3,West,5,503396
4570,3,3,10,0,East,7,1593709
4397,4,2,45,2,North,6,1501550
1699,2,3,11,0,North,8,678523
1336,5,2,9,0,East,3,687252
1410,2,3,16,1,East,10,596513
2581,2,1,48,3,North,6,837207
4798,1,2,97,2,North,7,1366199
3008,4,1,92,1,South,4,948641
1372,4,3,72,1,North,7,574215
4118,5,3,90,1,Central,2,1405830
1233,2,1,43,1,North,2,420544
4535,5,1,35,0,East,3,1578171
1473,4,1,70,3,South,8,553658
3013,1,2,74,1,East,6,871381
1987,1,2,31,3,Central,8,677902
4076,3,3,39,1,South,1,1387215
4000,5,3,84,1,South,8,1374531
3423,2,2,46,1,South,4,1109310
1121,2,1,46,0,South,10,380967
4492,5,1,45,2,Central,2,1566724
3549,4,2,70,2,North,8,1211927
2082,4,2,78,0,West,1,730058
2040,3,2,17,2,Central,9,809374
2994,4,1,69,3,South,1,1023836
1750,2,3,90,1,West,2,541828
1905,2,1,96,1,Central,6,510891
3905,5,3,29,3,South,7,1475505
1861,4,3,86,3,East,6,712436
4758,2,2,93,0,North,9,1408766
4446,5,1,58,0,Central,8,1491626
4822,1,3,55,0,North,8,1486124
2187,4,3,21,0,North,6,898730
4185,1,1,23,1,North,7,1296037
4157,4,3,45,3,North,7,1485254
1493,4,2,61,0,Central,4,584121
3611,5,2,91,2,North,7,1221809
4412,2,3,76,2,North,2,1376570
4155,2,2,59,3,West,7,1325472
3253,2,3,94,1,East,8,983907
3554,5,3,74,3,South,3,1296386
3400,1,3,96,2,East,4,990420
2846,3,1,14,3,East,4,1029155
4229,3,3,6,0,East,3,1499186
4208,1,2,14,1,North,7,1363669
1522,3,3,58,2,West,2,602389
2855,5,2,53,1,South,4,1066532
2148,2,1,1,0,Central,9,782332
3236,3,3,8,3,Central,9,1221026
2895,2,3,40,1,South,4,993872
2773,4,2,2,1,West,4,1106673
3569,4,1,94,3,Central,5,1132710
3978,3,2,5,0,West,4,1397178
2570,4,2,29,2,East,5,985642
3996,2,1,57,2,Central,10,1240433
3759,3,2,82,2,South,7,1196012
1303,1,1,65,0,South,1,348634
4353,4,2,37,0,West,10,1498020
3303,2,3,30,1,East,5,1128581
1548,3,2,24,0,North,5,625160
3616,2,2,68,3,North,5,1131844
3955,5,3,76,3,North,10,1406121
4014,4,2,38,3,West,1,1417154
4439,3,3,70,2,South,4,1449121
3935,4,1,42,1,West,1,1333893
4770,4,1,59,2,North,1,1568946
1216,5,3,0,0,Central,3,697092
2273,3,3,1,2,North,1,932791
4375,3,2,64,1,South,8,1406287
2407,2,1,65,2,Central,6,741036
3025,2,2,84,1,Central,7,904966
3132,3,1,90,1,West,8,942423
2874,1,2,57,0,Central,9,850113
1726,5,2,51,3,South,3,764555
1531,2,2,72,2,East,4,485770
4973,5,3,1,2,North,5,1843742
1124,1,1,59,1,East,10,312265
4088,1,2,73,0,South,10,1190518
1458,1,1,22,3,South,10,508257
1306,2,3,69,2,West,5,457357
3110,4,1,64,1,South,4,1037169
3119,5,2,83,0,West,6,1088984
2731,4,2,98,3,North,4,918249
3955,3,2,76,3,West,3,1281329
3049,5,2,81,3,West,9,1094712
4647,4,1,26,1,West,9,1586514
4303,3,1,41,1,West,2,1405203
3916,5,1,92,1,South,5,1276351
3085,1,3,23,3,South,3,1047530
1052,1,2,52,3,West,9,357849
2063,5,1,73,0,West,1,748510
4054,3,1,73,2,South,10,1268240
1593,5,3,31,0,North,4,762842
4347,5,3,65,3,Central,9,1536991
4733,3,1,90,0,West,4,1412050
1755,5,1,56,1,East,1,699314
2895,3,2,63,1,South,1,954272
3871,4,1,78,3,East,6,1269320
4093,4,2,53,0,North,3,1377000
2272,4,1,24,1,Central,3,866156
4248,1,2,72,3,Central,4,1272367
2555,5,3,82,1,Central,1,950543
3467,3,2,66,0,South,5,1120025
2501,4,1,1,2,North,6,1002158
2439,3,1,55,2,South,2,826273
1671,3,1,86,0,South,6,517364
3781,2,2,77,0,South,6,1134505
3642,2,2,39,3,East,2,1211397
4148,5,3,21,0,South,6,1545666
1590,5,2,25,0,South,5,728818
1552,2,3,21,1,South,7,620971
2946,1,1,85,2,South,7,809878
1613,5,1,46,1,East,9,676254
3001,1,2,70,2,Central,10,887929
4946,1,2,84,2,South,4,1442203
1572,5,3,52,3,South,9,731624
2598,2,1,96,2,West,1,735156
4305,5,3,78,2,East,6,1493230
3534,5,1,68,0,South,7,1212890
4692,4,2,70,3,East,1,1556594
4232,1,2,3,0,East,2,1374043
4405,3,2,14,1,Central,3,1519264
1984,1,2,14,3,North,3,706817
4996,4,1,42,3,East,6,1667889
1828,1,3,26,2,North,3,662691
1916,1,3,1,2,South,1,742359
3843,1,2,11,3,West,2,1268359
2697,3,1,78,0,North,10,824939
2332,4,1,52,1,East,8,829913
4307,5,1,83,3,North,3,1430540
3943,2,2,38,0,West,3,1271222
1485,3,2,63,3,North,8,568921
2707,3,3,84,3,South,9,920187
2606,4,3,51,2,North,2,996414
1591,5,2,64,0,North,8,662267
1069,1,1,69,1,South,5,276677
2360,1,2,28,3,North,10,786736
3895,2,2,69,0,West,7,1189467
2566,3,2,39,2,Central,5,925333
3080,5,3,13,3,East,2,1266531
3816,5,3,19,3,South,6,1472674
3977,4,3,32,2,East,4,1429596
1953,3,1,13,0,South,4,737564
4632,2,1,45,1,East,3,1433835
3312,2,1,10,3,South,4,1139176
3606,1,3,75,2,East,2,1084581
4964,2,3,47,0,South,1,1576749
4317,3,1,17,0,Central,1,1432170
2797,5,2,78,3,East,1,1032855
2504,2,1,54,3,South,8,799604
2415,2,3,78,2,West,1,772422
1696,5,3,1,1,North,6,864659
4068,1,3,50,1,West,6,1266434
4279,3,2,81,2,Central,7,1353371
3052,2,2,79,1,West,6,936973
1264,3,1,21,2,Central,10,546136
4981,4,2,53,3,West,3,1681185
1937,4,1,3,0,Central,10,811029
4290,1,3,71,2,Central,4,1307715
1595,1,2,81,2,Central,8,440465
3633,3,2,48,0,East,10,1207768
2761,2,2,5,3,South,5,1011637
2083,2,2,86,0,East,5,619229
2447,4,2,37,0,South,2,913555
1758,4,2,96,3,North,10,629031
1934,1,3,78,1,North,4,582935
2383,4,2,50,3,South,9,895241
4682,3,2,25,1,East,4,1565140
4642,3,2,14,2,East,5,1594716
1776,1,1,50,2,South,9,541046
3180,1,2,84,3,Central,6,924994
4148,2,1,0,2,North,8,1393450
